"nom de l'article","0","masque","Fake / Fiable","OP VS INFO","DEMINAGE","BIAIS","Couleur","Hexa","vra/faux (niveau 1)","analyse (simple niveau 2)","analyse fine (niveau 3)","BIAIS","Type","Phrase","Catégorie","Définitions","","","","","","","","","","","","",""
"","","","","chap01_03","Rubrique","","orange","FF9702","","","","","Opinion","","","","","","","","","","","","","","","",""
"","","","","chap01_04","Affirmation sans preuve","","jaune","FEEA3B","","","","","Affirmation","","","Dans le prochain document, le titre affirmatif fournit une seule interprétation, celle qui conforte l’idée principale que le dérèglement climatique n’existe pas. Notez également l’emploi des guillemets.","","","","","","","","","","","","",""
"Climat : peut-on vraiment faire confiance au GIEC ? ","chap01_04","chap01_04m","Fiable","chap01_02","Média","","rouge","F34334","","","x","","source  fiable ou non fiable ?  recouper les sources pour mieux se renseigner sur l'auteur de ce blog et déterminer ensuite s'il s'agit d'une source fiable ou non ","","","Cet article reprend point par point les idées reçues sur le GIEC pour démontrer par des faits comment fonctionne ce groupe d’experts Intergouvernemental sur l’Evolution du Climat. 
L'auteur de ce blog est Thomas Wagner, connu pour être le bon pote du climat et pour déconstuire les idées reçues des climatosceptiques. 
Son article est construit sur des faits, mais cet exemple montre qu'il faut aller au-delà du titre et qu'il est nécessaire de bien se renseigner sur la source (auteur et média) avant de construire sa propre opinion et de déterminer s'il s'agit d'une fake news ou d'une vraie information. ","","","","","","","","","","","","",""
"","","","","chap01_03","","","orange","FF9702","","","","","Question ","","","","","","","","","","","","","","","",""
"","","","","chap01_04","Titre trompeur","","jaune","FEEA3B","","","","","Ironie / emphase","","","","","","","","","","","","","","","",""
"","","","","","","","vert clair","CCDC3B","","","","","image sortie de son contexte (manipulation d'images)","","","","","","","","","","","","","","","",""
"Tweet Dr Astrid Stuckelgber pass climatique on vit dans une dictature","chap01_05","chap01_05m","Fake","chap01_02","Argument d'autorité","","rouge","F34334","","","x","","source auteur (arg d'autorité)","","","Argument d'autorité : se présente avec le titre de docteur via l'abréviation ""Dr"" placée avant son nom. 
Si Astrid Stuckelberger a effectivement travaillé à l’Université de Genève et qu'elle est docteure en psychologie et en sciences de l’éducation, son contrat a pris fin à l’été 2016 selon l’AFP. Cette « docteure en médecine » utilise l'argument d'autorité pour promouvoir ses proposes idées. Selon Conspiracy Watch, un service de presse en ligne consacré à l’information sur le phénomène conspirationniste, le négationnisme et leurs manifestations actuelles,  Astrid Stuckelberger est devenue la figure de la complosphère covido-sceptique et antivax francophone, de nationalité suisse. ","","","","","","","","","","","","",""
"","","","","chap01_03","","","orange","FF9702","","","","","source non fiable","","","","","","","","","","","","","","","",""
"","","","","chap01_04","","","jaune","FEEA3B","","","","","source fiable (informations) détournée","","","","","","","","","","","","","","","",""
"","","","","","Instrumentalisation d'une source officielle","","vert clair","CCDC3B","","","","","idem","","","","","","","","","","","","","","","",""
"","","","","","","","vert foncé","4DAE4F","","","","","contenu provocateur ? ","","","rhétorique complotiste avec expressions types, parfois stéréotypées","","","","","","","","","","","","",""
"","","","","","Vision paranoïaque du monde","","bleu clair","01BBD2","","","","","rhétorique du complot","","","Procédé argumentatif de la rhétorique du complot :  suite logique entre des événements difficiles à comprendre + évocation de corrélations présentées comme des causalités ","","","","","","","","","","","","",""
"","","","","","Rhétorique complotiste","","violet","9927B0","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Désignation d'un bouc émissaire","","rose","E61D63","","","","","bouc émissaire","","","","","","","","","","","","","","","",""
"Greta Thunberg, figure de proue du catastrophisme écologique","chap01_06","chap01_06m","","","Suffixe ""isme"" et désignation de coupable","","rouge","F34334","","","x","","- Rhétorique: Suffixe ""isme"".  Utilisé pour former un nom correspondant à une doctrine, un dogme, une idéologie ou une théorie, qu'elle soit religieuse, politique ou scientifique. 
- ""figure de proue"" : métaphore pour désigner une personne mise en avant, Membre emblématique d'un groupe.
Par cette métaphore, discréditation de Greta Thunberg","","","Rhétorique complotiste avec une légende chargée d’émotion (violence, haine, colère) ; ","","","","","","","","","","","","",""
"""Le catastrophisme écologique est en train de devenir une religion""","chap01_07","chap01_07m","","","","","rouge","F34334","","","x","","opinion","","","Opinion :  Jugement, avis, sentiment qu'un individu ou un groupe émet sur un sujet et ce qu'il en pense ","","","","","","","","","","","","",""
"","","","","","Argument d'autorité","","orange","FF9702","","","","","argument d'autorité","","","","","","","","","","","","","","","",""
"","","","","","Rhétorique alarmiste et hyperboles","","jaune","FEEA3B","","","","","rhétorique alarmiste, hyperboles","","","","","","","","","","","","","","","",""
"Climat : ces experts vous mentent","chap01_08","chap01_08m","Fake","","Argument d'autorité","","rouge","F34334","x","","x","","argument d'autorité","","","","","","","","","","","","","","","",""
"","","","","","Rhétorique complotiste","","orange","FF9702","","","","","remise en question du réel","","","","","","","","","","","","","","","",""
"Qu'il fait froid en Antarctique !","chap01_09","chap01_09m","Fake","","Emploi de l'ironie ","","rouge","F34334","","","x","","Ironie ","","","","","","","","","","","","","","","",""
"","","","","","Rhétorique paranoïaque","","jaune","FEEA3B","","","","","Complot ","","","","","","","","","","","","","","","",""
"Les 12 mensonges du GIEC","chap01_10","chap01_10m","Fake","","","","rouge","F34334","x","","","","remise en question du réel","","","","","","","","","","","","","","","",""
"","","","","","","","orange","FF9702","","","","","source non précisée","","","","","","","","","","","","","","","",""
"","","","","","","","jaune","FEEA3B","","","","","peu d'informations sur l'auteur","","","","","","","","","","","","","","","",""
"","","","","","","","vert clair","CCDC3B","","","","","rhétorique orientée ","","","","","","","","","","","","","","","",""
"","","","","","","","vert foncé","4DAE4F","","","","","complotisme","","","","","","","","","","","","","","","",""
"L’Indice Forêt Météo (IFM) est un indicateur du risque d'occurrence d'un feu de forêt. ","chap01_11","chap01_11m","Fiable","","","","rouge","F34334","x","","","","Méthode d'étude détaillée et basée sur des preuves + explication de la méthodologie","","","","","","","","","","","","","","","",""
"","","","","","","","orange","FF9702","","","","","Source institutionnelle : L'Observatoire climat air énergie d’Auvergne-Rhône-Alpes","","","Les sources institutionnelles. Ce sont toutes les sources détentrices d’une autorité publique : gouvernement, ministères, administrations, etc. Elles ont l’avantage d’être répertoriées, structurées, productrices de nouvelles officielles. ","","","","","","","","","","","","",""
"Carte de sensibilité aux feux de forêts à l'horizon 2040, tirée
du rapport de la mission interministérielle","chap01_12","chap01_12m","Fiable","","Source institutionnelle","","rouge","F34334","x","x","","","","","","","","","","","","","","","","","","",""
"Donald Trump sur Twitter ","chap01_13","chap01_13m","Fake","","Rhétorique complotiste","","rouge","F34334","x","x","","","","","","","","","","","","","","","","","","",""
"","","","","","Auteur","","orange","FF9702","","","","","","","","","","","","","","","","","","","","",""
"Vidéo Le Monde climat","chap01_14","chap01_14m","","","Média","","rouge","F34334","","x","","","Source médias","","","Média : Du latin medium qui signifie moyen, milieu, lien. Un média est un moyen ou support technique utilisé pour diffuser de l'information (presse, radio, télévision, cinéma, réseaux sociaux)","","","","","","","","","","","","",""
"","","","","","Source institutionnelle","","orange","FF9702","","","","","Source institutionnelle","","","","","","","","","","","","","","","",""
"","","","","","Explication","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Preuve scientifique et données","","vert foncé","4DAE4F","","","","x","","","","","","","","","","","","","","","","",""
"Vidéo Arte climat","chap01_15","chap01_15m","","","Média","","rouge","F34334","","x","","","","","","","","","","","","","","","","","","",""
"","","","","","Argument","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"Jean-Claude Bourret nie le réchauffement climatique","chap01_16","chap01_16m","","","Signalement d'une fake news ","","rouge","F34334","","","x","","Post sur facebook partagé 3000 fois, retiré de Facebook pour faute de preuves scientifiques
Analyse du lexique ""vérité"", etc","","","","","","","","","","","","","","","",""
"","","","","","Désignation de coupables","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"De Facto","chap01_17","chap01_17m","Fiable","","Média","","rouge","F34334","","x","","","Source fiable : média de vérification de l'information
Argumentation du propos
Preuves avec lien à l'appui","","","Médias sociaux: Vecteurs d’informations, ils désignent un ensemble de services qui permet de développer des conversations et des interactions sociales en ligne.","","","","","","","","","","","","",""
"","","","","","Auteur","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Fact-checking","","vert foncé","4DAE4F","","","","","","","","","","","","","","","","","","","","",""
"Climat et vérité, comprendre le giec","chap01_18","chap01_18m","Fake","","Mention de la vérité","","rouge","F34334","","","x","","","","","","","","","","","","","","","","","",""
"","","","","","Dénonciation d'une manipulation","","orange","FF9702","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Rhétorique complotiste","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"Comprendre le giec ministère","chap01_19","chap01_19m","Fiable","","Source institutionnelle","","rouge","F34334","x","x","","","","","","","","","","","","","","","","","","",""
"Schema effet de serre","chap01_20","chap01_20m","Fiable","","Source institutionnelle","","rouge","F34334","x","","x","","","","","","","","","","","","","","","","","",""
"","","","","","Argumentaire basé sur des faits et preuves","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"Schema températures","chap01_21","","Fiable","","","","","","x","","","","","","","","","","","","","","","","","","","",""
"Tweet jancovici","chap01_22","chap01_22m","Fake","","Rhétorique complotiste","","rouge","F34334","","","x","","","","","","","","","","","","","","","","","",""
"Graphique niveau de l'eau","chap01_23","chap01_23m","Fiable","","Source institutionnelle","","rouge","F34334","","","x","","","","","","","","","","","","","","","","","",""
"","","","","","Argument basé sur des données scientifiques","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"Reporterre","chap01_24","chap01_24m","Fiable","","Média indépendant","","rouge","F34334","","x","","","","","","","","","","","","","","","","","","",""
"","","","","","Référence","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"Tweet Trump","chap01_25","chap01_25m","Fake","","Source politique","","rouge","F34334","","","x","","source institutionnelle, or Donald Trump est souvent décrit comme ayant été un président ""pas comme les autres"" avec une personnalité ""incontrôlable""","","","","","","","","","","","","","","","",""
"","","","","","Rhétorique complotiste, argument invérifiable","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Viralité","","orange","FF9702","","","","","","","","","","","","","","","","","","","","",""
"THEME 2 - CURES ALTERNATIVES","","","","","","","","","9","9","13","","","","","","","","","","","","","","","","","",""
"1. ""S'exposer au soleil ou à la chaleur permet de 
soigner le Covid""","chap02_01","chap02_01m","Fiable","","Référence","","rouge","F34334","x","x","","","Source institutionnelle","","","L'Organisation mondiale de la Santé (OMS), est l'institution spécialisée de l'Organisation des Nations unies (ONU) pour la santé publique créée en 1948.","","","","","","","","","","","","",""
"2. ""ça se trouve que le remède contre le covid,
 c'est juste un peu de gigembre, etc""","chap02_02","chap02_02m","Fake","","","","rouge","F34334","x","","","","remise en cause du vaccin","","","Rhétorique complotiste avec une part d’implicite (des causes et/ou des accusations que le public doit deviner) ","","","","","","","","","","","","",""
"3. Le miel, un remède contre la toux ","chap02_03","chap02_03m","Fiable","","Média","","rouge","F34335","","","x","","source fiable","","","","","","","","","","","","","","","",""
"","","","","","Information basée sur des études scientifiques ","","orange","FF9702","","","","","information vérifiée","","","","","","","","","","","","","","","",""
"4. Perdre du poids grâce à une boisson magique ","chap02_04","chap02_04m","Fake","","Marque","","rouge","F34334","","x","","","influenceuse (pas médecin)","","","Influenceur : Dans la sphère numérique, personne qui par son statut, son exposition ou son audience sur les réseaux sociaux, influence l'opinion, les habitudes de consommation.

Publicité : L'objectif d'une pub ? Vendre un produit, gagner de l'argent. 
Le message est biaisé par un intérêt commercial, idéologique. Il n'y a pas d'échanges, messages unilatéraux…","","","","","","","","","","","","",""
"","","","","","Argument invérifiable","","jaune","FEEA3B","","","","","pas de preuve des informations avancées (avant / après)","","","","","","","","","","","","","","","",""
"","","","","","Superposition d'images et comparaison","","orange","FF9702","","","","","changement de vêtements","","","","","","","","","","","","","","","",""
"5. Kim Kardashian fait de la pub pour une marque
 tout en affirmant qu'elle a perdu du poids","chap02_05","chap02_05m","Fake","","Marque dans le texte","","rouge","F34334","","","x","","partenariat rémunéré : info pas neutre","","","Influenceur : Dans la sphère numérique, personne qui par son statut, son exposition ou son audience sur les réseaux sociaux, influence l'opinion, les habitudes de consommation.","","","","","","","","","","","","",""
"","","","","","Image publicitaire et promotionnelle","","jaune","FEEA3B","","","","","Kim K","","","","","","","","","","","","","","","",""
"","","","","","Promotion publicitaire dans le texte","","orange","FF9702","","","","","promo : incitation à l'achat","","","","","","","","","","","","","","","",""
"6. Cure Detox : pas de preuves scientifiques ","chap02_06","chap02_06m","Fiable","","Mention d'études scientifiques","","rouge","F34335","x","","x","","mentionne des études concrètes","","","","","","","","","","","","","","","",""
"7. Le sport pendant la grossesse,  un atout pour le bébé","chap02_07","chap02_07m","Fiable","","Argument basé sur des études scientifiques","","rouge","F34336","","","x","","","","","","","","","","","","","","","","","",""
"8. Se limer les dents, une tendance TikTok dangereuse","chap02_08","chap02_08m","Fiable","","Média ","","rouge","F34336","","x","","","","","","Tik Tok: Application mobile 
de partage de vidéos et de 
réseautage social lancée en 2016 
en Chine. Très prisée des plus 
jeunes, 40% des 15-24 ans sont 
sur Tik Tok chaque jour en octobre 
2020","","","","","","","","","","","","",""
"","","","","","Argument d'autorité ","","orange","FF9702","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Explication médicale, faits vérifiés","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"9. LES 6 GESTES BARRIÈRES CONTRE LES CARIES
ET LES MALADIES PARODONTALES","chap02_09","chap02_09m","Fiable","","Source intermédiaire","","rouge","F34336","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Référence ","","orange","FF9702","","","","","","","","","","","","","","","","","","","","",""
"10. Tweet miel avec de l'ail Covid","chap02_10","chap02_10m","Fake","","","","rouge","F34336","x","","","","","","","","","","","","","","","","","","","",""
"11. Au féminin rajeunissement vaginal ","chap02_11","chap02_11m","Fiable","","Fact-checking","","rouge","F34336","","x","","","","","","","","","","","","","","","","","","",""
"","","","","","Référence institutionnelle","","orange","FF9702","","","","","","","","","","","","","","","","","","","","",""
"Lithotérapie effet placebo","chap02_12","chap02_12m","Fiable","","Débunk d'une fake news grâce aux études scientifiques","","rouge","F34336","","","x","","","","","","","","","","","","","","","","","",""
"","","","","","Proposition d'une explication à l'effet des pierres","","orange","FF9702","","","","","","","","","","","","","","","","","","","","",""
"Lithotérapie pas de fondement","chap02_13","chap02_13m","Fiable","","Média","","rouge","F34336","x","x","","","media","","","","","","","","","","","","","","","",""
"","","","","","Argument","","orange","FF9702","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Référence","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"Homéopathie figaro","chap02_14","chap02_14m","Fiable","","Mention d'une action menée par des médecins","","rouge","F34336","","","x","","media","","","","","","","","","","","","","","","",""
"","","","","","Dénonciation d'une arnaque","","orange","FF9702","","","","","","","","","","","","","","","","","","","","",""
"La lithothérapie c'est quoi ?","chap02_15","chap02_15m","Fake","","Affirmation invérifiable","","rouge","F34336","x","","x","","","","","","","","","","","","","","","","","",""
"","","","","","Rhétorique mystique","","orange","FF9702","","","","","","","","","","","","","","","","","","","","",""
"manipulation pharma ghost management","chap02_16","chap02_16m","Fake","","Rhétorique du complot et de la manipulation ","","rouge","F34336","x","","","","","","","","","","","","","","","","","","","",""
"Reiki","chap02_17","chap02_17m","Fiable","","Média","","rouge","F34336","","x","","","","","","","","","","","","","","","","","","",""
"","","","","","Auteurs","","orange","FF9702","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Bibliographie et références","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"soins énergétiques","chap02_18","","Fake","","","","","","x","","","","","","","","","","","","","","","","","","","",""
"THEME 3 - COVID ET VACCINATION","","","","","","","","","8","7","7","","","","","","","","","","","","","","","","","",""
"1. Encore un témoignage douloureux : morts liées aux vaccins
 (remise en cause vaccins)","chap03_01","chap03_01m","Fake","","","","rouge","F34334","x","","","","","","","","","","","","","","","","","","","",""
"2. Surmortalité post-vaccinale: 
des scientifiques allemands sondent les statistiques officielles","chap03_02","chap03_02m","Fake","","Raisonnement hypothétique","","rouge","F34335","","x","","","","","","","","","","","","","","","","","","",""
"","","","","","Média","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"3. « Le vaccin contre le Covid-19 contiendrait
 des puces électroniques 5G, pour nous tracer et ficher ! »","chap03_03","chap03_03m","Fiable","","Utilisation de l'ironie pour débunker une fake news répandue","","rouge","F34335","","","x","","","","","","","","","","","","","","","","","",""
"","","","","","Informations non vérifiées","","orange","FF9702","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Référence scientifique","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"4. « Les personnes entièrement vaccinées développent 
le syndrome d’immunodéficience acquise (sida) »","chap03_04","chap03_04m","Fake","","Média","","jaune","FEEA3B","x","x","","","","","","","","","","","","","","","","","","",""
"","","","","","Affirmation complotiste","","orange","FF9702","","","","","","","","","","","","","","","","","","","","",""
"5. Article scientifique : comment se transmet réellement le VIH","chap03_05","chap03_05m","Fiable","","Média","","orange","FF9702","x","x","","","","","","","","","","","","","","","","","","",""
"","","","","","Fact-checking","","rouge","F34335","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Références scientifiques","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"6. ""N’oubliez pas que l’obligation vaccinale à ce jour n’est qu’un
 vaste bluff
 afin de maintenir la pression et de vous faire craquer 
pour que de vous-mêmes vous alliez à l’abattoir.""","chap03_06","chap03_06m","Fake","","Rhétorique complotiste","","jaune","FEEA3B","","","x","","","","","","","","","","","","","","","","","",""
"","","","","","Remise en cause du vaccin","","rouge","F34335","","","","","","","","","","","","","","","","","","","","",""
"6. ""Vous avez manipulé l'opinion""","chap03_07","chap03_07m","Fake","","Remise en cause du vaccin","","rouge","F34335","x","","","","","","","","","","","","","","","","","","","",""
"","","","","","Rhétorique complotiste","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"Covid - Le Monde","chap03_08","chap03_08m","Fiable","","Médias","","jaune","FEEA3B","x","x","","","","","","","","","","","","","","","","","","",""
"","","","","","Références institutionnelles","","rouge","F34335","","","","","","","","","","","","","","","","","","","","",""
"9. ""Tenue obligatoire en ville"" (remise en cause du masque)","chap03_09","chap03_09m","Fake","","","","rouge","F34335","x","","","","","","","","","","","","","","","","","","","",""
"10. Tweet reprendre le contrôle","chap03_10","chap03_10m","Fake","","Rhétorique du complot","","rouge","F34335","","","x","","","","","","","","","","","","","","","","","",""
"","","","","","Affirmations sans preuves","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"11. Tweet AS variants","chap03_11","chap03_11m","Fake","","Allégation","","orange","FF9702","x","","x","","","","","","","","","","","","","","","","","",""
"","","","","","Remise en question du vaccin","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"12. Tweet injectez macron","chap03_12","chap03_12m","Fake","","","","jaune","FEEA3B","x","","","","","","","","","","","","","","","","","","","",""
"Article Le Point vaccin efficace","chap03_13","chap03_13m","Fiable","","Média","","rouge","F34335","","x","","","","","","","","","","","","","","","","","","",""
"","","","","","Référence à une étude scientifique","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"","","","","","Données chiffrées","","orange","FF9702","","","","","","","","","","","","","","","","","","","","",""
"Didier Raoult censuré","chap03_14","chap03_14m","Fake","","Rhétorique du complot","","rouge","F34335","","","x","","","","","","","","","","","","","","","","","",""
"","","","","","Rhétorique paranoïaque","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"Graphique évolution nombre de décès","chap03_15","chap03_15m","Fiable","","Source institutionnelle","","rouge","F34335","x","x","","","","","","","","","","","","","","","","","","",""
"Covid 19 et guerre scientifique","chap03_16","chap03_16m","Fake","","Rhétorique paranoïaque","","jaune","FEEA3B","","","x","","","","","Procédé argumentatif de la rhétorique complotiste : 
 un discours manichéen, sans nuances ","","","","","","","","","","","","",""
"Graphique décès hebdomadaires covid","chap03_17","chap03_17m","Fiable","","","","","","x","","","","","","","","","","","","","","","","","","","",""
"Le Monde la HAS","chap03_18","chap03_18m","Fiable","","","","","","x","","","","","","","","","","","","","","","","","","","",""
"Article gouvernement Comprendre le Covid","chap03_19","chap03_19m","Fiable","","Source institutionnelle","","rouge","F34335","","x","","","","","","","","","","","","","","","","","","",""
"","","","","","Référence à l'OMS","","jaune","FEEA3B","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","11","7","6","","","","","","","","","","","","","","","","","",""
